angle : 0.576782, distance : 1.008000
angle : 0.917358, distance : 1.008000
angle : 1.263428, distance : 1.008000
angle : 1.604004, distance : 1.010000
angle : 1.950073, distance : 1.014000
angle : 2.296143, distance : 1.012000
angle : 2.636719, distance : 1.012000
angle : 2.982788, distance : 1.014000
angle : 3.323364, distance : 1.014000
angle : 3.669434, distance : 1.016000
angle : 4.015503, distance : 1.020000
angle : 4.356079, distance : 1.022000
angle : 4.702148, distance : 1.020000
angle : 5.042725, distance : 1.016000
angle : 5.388794, distance : 1.014000
angle : 5.729370, distance : 1.016000
angle : 6.075439, distance : 1.016000
angle : 6.421509, distance : 1.020000
angle : 6.762085, distance : 1.012000
angle : 7.108154, distance : 0.998000
angle : 7.448730, distance : 0.992000
angle : 8.135376, distance : 1.010000
angle : 8.481445, distance : 1.008000
angle : 9.107666, distance : 1.032000
angle : 9.448242, distance : 1.036000
angle : 9.794312, distance : 1.038000
angle : 10.140381, distance : 1.040000
angle : 10.480957, distance : 1.042000
angle : 10.827026, distance : 1.042000
angle : 11.167603, distance : 1.036000
angle : 11.513672, distance : 1.034000
angle : 11.854248, distance : 1.034000
angle : 12.200317, distance : 1.038000
angle : 12.546387, distance : 1.026000
angle : 12.936401, distance : 1.014000
angle : 13.276978, distance : 1.016000
angle : 13.623047, distance : 1.018000
angle : 13.963623, distance : 1.022000
angle : 14.309692, distance : 1.022000
angle : 14.655762, distance : 1.024000
angle : 14.952393, distance : 1.026000
angle : 15.292969, distance : 1.028000
angle : 15.639038, distance : 1.032000
angle : 15.979614, distance : 1.036000
angle : 16.325684, distance : 1.038000
angle : 16.671753, distance : 1.044000
angle : 17.012329, distance : 1.048000
angle : 17.358398, distance : 1.054000
angle : 17.698975, distance : 1.062000
angle : 18.671265, distance : 1.084000
angle : 26.043091, distance : 0.954000
angle : 26.389160, distance : 0.948000
angle : 26.729736, distance : 0.948000
angle : 27.136230, distance : 0.944000
angle : 27.482300, distance : 0.944000
angle : 28.108521, distance : 0.958000
angle : 155.670776, distance : 1.078000
angle : 156.011353, distance : 1.074000
angle : 156.357422, distance : 1.070000
angle : 156.697998, distance : 1.070000
angle : 158.417358, distance : 1.082000
angle : 268.604736, distance : 0.376000
angle : 268.950806, distance : 0.376000
angle : 269.296875, distance : 0.375000
angle : 269.637451, distance : 0.375000
angle : 269.967041, distance : 0.375000
angle : 270.307617, distance : 0.375000
angle : 270.653687, distance : 0.375000
angle : 270.999756, distance : 0.376000
angle : 271.340332, distance : 0.376000
angle : 271.686401, distance : 0.377000
angle : 272.026978, distance : 0.377000
angle : 272.373047, distance : 0.378000
angle : 272.669678, distance : 0.379000
angle : 273.010254, distance : 0.380000
angle : 273.339844, distance : 0.382000
angle : 273.685913, distance : 0.384000
angle : 273.982544, distance : 0.386000
angle : 274.323120, distance : 0.389000
angle : 274.608765, distance : 0.392000
angle : 274.905396, distance : 0.397000
angle : 275.575562, distance : 0.403000
angle : 353.292847, distance : 1.044000
angle : 353.655396, distance : 1.046000
angle : 353.995972, distance : 1.048000
angle : 354.342041, distance : 1.046000
angle : 354.682617, distance : 1.044000
angle : 355.028687, distance : 1.040000
angle : 355.374756, distance : 1.034000
angle : 356.105347, distance : 0.994000
angle : 356.451416, distance : 1.004000
angle : 357.138062, distance : 1.020000
angle : 357.434692, distance : 1.026000
angle : 357.780762, distance : 1.026000
angle : 358.170776, distance : 1.018000
angle : 358.511353, distance : 1.018000
angle : 358.857422, distance : 1.014000
angle : 359.197998, distance : 1.012000
angle : 359.544067, distance : 1.012000
angle : 359.890137, distance : 1.010000
