angle : 29.135742, distance : 3.764000
angle : 29.481812, distance : 3.744000
angle : 29.827881, distance : 3.728000
angle : 31.530762, distance : 3.680000
angle : 31.871338, distance : 3.672000
angle : 32.217407, distance : 3.660000
angle : 32.557983, distance : 3.652000
angle : 32.904053, distance : 3.644000
angle : 33.233643, distance : 3.636000
angle : 33.574219, distance : 3.628000
angle : 33.920288, distance : 3.624000
angle : 34.260864, distance : 3.616000
angle : 34.606934, distance : 3.604000
angle : 34.953003, distance : 3.600000
angle : 35.277100, distance : 3.592000
angle : 35.623169, distance : 3.588000
angle : 35.963745, distance : 3.580000
angle : 36.309814, distance : 3.572000
angle : 36.655884, distance : 3.568000
angle : 36.996460, distance : 3.564000
angle : 37.326050, distance : 3.560000
angle : 37.666626, distance : 3.556000
angle : 38.012695, distance : 3.548000
angle : 38.358765, distance : 3.544000
angle : 38.699341, distance : 3.544000
angle : 39.045410, distance : 3.544000
angle : 39.375000, distance : 3.536000
angle : 39.715576, distance : 3.528000
angle : 40.061646, distance : 3.524000
angle : 40.402222, distance : 3.520000
angle : 40.748291, distance : 3.516000
angle : 41.088867, distance : 3.516000
angle : 41.418457, distance : 3.516000
angle : 41.824951, distance : 3.512000
angle : 42.451172, distance : 3.524000
angle : 42.841187, distance : 3.512000
angle : 43.187256, distance : 3.504000
angle : 43.527832, distance : 3.496000
angle : 43.873901, distance : 3.492000
angle : 44.214478, distance : 3.488000
angle : 44.544067, distance : 3.488000
angle : 44.890137, distance : 3.488000
angle : 45.230713, distance : 3.484000
angle : 45.576782, distance : 3.480000
angle : 45.917358, distance : 3.476000
angle : 46.263428, distance : 3.472000
angle : 46.593018, distance : 3.476000
angle : 46.933594, distance : 3.476000
angle : 47.279663, distance : 3.464000
angle : 47.620239, distance : 3.464000
angle : 47.966309, distance : 3.468000
angle : 48.312378, distance : 3.468000
angle : 48.636475, distance : 3.464000
angle : 48.982544, distance : 3.464000
angle : 49.323120, distance : 3.468000
angle : 71.619873, distance : 3.752000
angle : 71.965942, distance : 3.732000
angle : 72.295532, distance : 3.708000
angle : 72.636108, distance : 3.692000
angle : 72.982178, distance : 3.676000
angle : 73.311768, distance : 3.656000
angle : 73.652344, distance : 3.632000
angle : 73.981934, distance : 3.620000
angle : 74.328003, distance : 3.608000
angle : 74.668579, distance : 3.592000
