angle : 0.197754, distance : 0.000000
angle : 0.483398, distance : 0.000000
angle : 0.823975, distance : 0.000000
angle : 1.153564, distance : 0.000000
angle : 1.741333, distance : 0.000000
angle : 2.103882, distance : 0.000000
angle : 2.186279, distance : 0.000000
angle : 2.466431, distance : 0.000000
angle : 2.856445, distance : 0.000000
angle : 3.202515, distance : 0.000000
angle : 3.526611, distance : 0.000000
angle : 3.872681, distance : 0.000000
angle : 4.218750, distance : 0.000000
angle : 4.542847, distance : 0.000000
angle : 4.888916, distance : 0.000000
angle : 5.229492, distance : 0.000000
angle : 5.575562, distance : 0.000000
angle : 5.905151, distance : 0.000000
angle : 6.245728, distance : 0.000000
angle : 6.591797, distance : 0.000000
angle : 6.921387, distance : 0.000000
angle : 7.261963, distance : 0.000000
angle : 7.608032, distance : 0.000000
angle : 7.948608, distance : 0.000000
angle : 8.278198, distance : 0.000000
angle : 8.624268, distance : 0.000000
angle : 8.964844, distance : 0.000000
angle : 9.294434, distance : 0.000000
angle : 10.382080, distance : 0.000000
angle : 10.739136, distance : 0.000000
angle : 11.326904, distance : 0.838000
angle : 11.667480, distance : 0.834000
angle : 11.997070, distance : 0.830000
angle : 12.343140, distance : 0.826000
angle : 12.683716, distance : 0.826000
angle : 13.029785, distance : 0.820000
angle : 13.419800, distance : 0.808000
angle : 13.760376, distance : 0.800000
angle : 14.089966, distance : 0.796000
angle : 14.496460, distance : 0.788000
angle : 14.826050, distance : 0.770000
angle : 15.232544, distance : 0.754000
angle : 15.562134, distance : 0.746000
angle : 15.968628, distance : 0.742000
angle : 16.292725, distance : 0.738000
angle : 16.638794, distance : 0.734000
angle : 16.979370, distance : 0.732000
angle : 17.308960, distance : 0.728000
angle : 17.655029, distance : 0.724000
angle : 18.045044, distance : 0.722000
angle : 18.385620, distance : 0.720000
angle : 18.731689, distance : 0.720000
angle : 19.061279, distance : 0.720000
angle : 19.401855, distance : 0.720000
angle : 19.747925, distance : 0.718000
angle : 20.088501, distance : 0.718000
angle : 20.418091, distance : 0.716000
angle : 20.764160, distance : 0.720000
angle : 21.044312, distance : 0.724000
angle : 21.538696, distance : 0.000000
angle : 21.840820, distance : 0.700000
angle : 22.170410, distance : 0.698000
angle : 22.510986, distance : 0.694000
