angle : 0.230713, distance : 0.000000
angle : 0.576782, distance : 0.000000
angle : 0.917358, distance : 0.000000
angle : 1.263428, distance : 0.000000
angle : 1.604004, distance : 0.000000
angle : 1.933594, distance : 0.000000
angle : 2.279663, distance : 0.000000
angle : 2.620239, distance : 0.000000
angle : 2.966309, distance : 0.000000
angle : 3.312378, distance : 0.000000
angle : 3.652954, distance : 0.000000
angle : 4.218750, distance : 0.000000
angle : 4.559326, distance : 0.000000
angle : 4.625244, distance : 0.000000
angle : 4.905396, distance : 0.000000
angle : 5.229492, distance : 0.000000
angle : 5.575562, distance : 0.000000
angle : 5.921631, distance : 0.000000
angle : 6.262207, distance : 0.000000
angle : 7.278442, distance : 0.000000
angle : 7.503662, distance : 0.000000
angle : 7.514648, distance : 0.000000
angle : 7.855225, distance : 0.000000
angle : 7.866211, distance : 0.000000
angle : 8.184814, distance : 0.000000
angle : 8.530884, distance : 0.000000
angle : 9.217529, distance : 0.000000
angle : 10.014038, distance : 0.000000
angle : 10.025024, distance : 0.000000
angle : 10.343628, distance : 0.000000
angle : 10.744629, distance : 0.000000
angle : 10.744629, distance : 0.000000
angle : 11.090698, distance : 0.000000
angle : 11.420288, distance : 0.000000
angle : 11.760864, distance : 0.000000
angle : 12.046509, distance : 0.000000
angle : 12.387085, distance : 0.000000
angle : 13.073730, distance : 0.000000
angle : 13.359375, distance : 0.000000
angle : 13.699951, distance : 0.000000
angle : 13.985596, distance : 0.000000
angle : 14.046021, distance : 0.000000
angle : 14.370117, distance : 0.000000
angle : 14.716187, distance : 0.000000
angle : 15.062256, distance : 0.000000
angle : 15.402832, distance : 0.000000
angle : 15.748901, distance : 0.000000
angle : 16.072998, distance : 0.000000
angle : 16.419067, distance : 0.000000
angle : 16.765137, distance : 0.000000
angle : 17.451782, distance : 0.000000
angle : 17.775879, distance : 0.000000
angle : 18.468018, distance : 0.000000
angle : 18.665771, distance : 0.000000
angle : 19.747925, distance : 0.000000
angle : 20.467529, distance : 0.000000
angle : 20.824585, distance : 0.000000
angle : 21.187134, distance : 0.000000
angle : 21.544189, distance : 0.000000
angle : 21.906738, distance : 0.000000
angle : 22.263794, distance : 0.000000
angle : 22.626343, distance : 0.000000
angle : 22.988892, distance : 0.000000
angle : 23.345947, distance : 0.000000
angle : 23.708496, distance : 0.000000
angle : 24.065552, distance : 0.000000
angle : 24.428101, distance : 0.000000
angle : 24.702759, distance : 0.940000
angle : 24.785156, distance : 0.000000
angle : 25.043335, distance : 0.940000
angle : 25.147705, distance : 0.000000
angle : 25.389404, distance : 0.934000
angle : 25.504761, distance : 0.000000
angle : 25.713501, distance : 0.938000
angle : 26.059570, distance : 0.944000
angle : 26.339722, distance : 0.946000
angle : 26.685791, distance : 0.948000
angle : 27.355957, distance : 0.954000
angle : 28.388672, distance : 0.000000
angle : 28.668823, distance : 0.000000
angle : 29.014893, distance : 0.000000
angle : 29.108276, distance : 0.000000
angle : 29.355469, distance : 0.000000
angle : 29.465332, distance : 0.000000
angle : 29.685059, distance : 0.000000
angle : 29.827881, distance : 0.000000
angle : 30.031128, distance : 0.000000
angle : 30.184937, distance : 0.000000
angle : 30.371704, distance : 0.000000
angle : 30.547485, distance : 0.000000
angle : 30.717773, distance : 0.000000
angle : 31.041870, distance : 0.000000
angle : 31.668091, distance : 0.000000
angle : 32.014160, distance : 0.000000
angle : 32.354736, distance : 0.000000
angle : 32.684326, distance : 0.000000
angle : 33.030396, distance : 0.000000
angle : 33.370972, distance : 0.000000
angle : 33.760986, distance : 0.000000
angle : 33.788452, distance : 0.000000
angle : 34.107056, distance : 0.000000
angle : 34.453125, distance : 0.000000
angle : 34.777222, distance : 0.000000
angle : 35.123291, distance : 0.000000
angle : 35.463867, distance : 0.000000
angle : 35.809937, distance : 0.000000
angle : 36.139526, distance : 0.000000
angle : 36.480103, distance : 0.000000
angle : 36.826172, distance : 0.000000
angle : 37.155762, distance : 0.000000
angle : 37.496338, distance : 0.000000
angle : 37.842407, distance : 0.000000
angle : 38.182983, distance : 0.000000
angle : 38.468628, distance : 0.000000
angle : 38.809204, distance : 0.000000
angle : 39.138794, distance : 0.000000
angle : 39.479370, distance : 0.000000
angle : 39.825439, distance : 0.000000
angle : 40.155029, distance : 0.000000
angle : 40.495605, distance : 0.000000
angle : 40.841675, distance : 0.000000
angle : 41.182251, distance : 0.000000
angle : 41.511841, distance : 0.000000
angle : 41.857910, distance : 0.000000
angle : 42.198486, distance : 0.000000
angle : 42.544556, distance : 0.000000
angle : 42.874146, distance : 0.000000
angle : 43.214722, distance : 0.000000
angle : 43.560791, distance : 0.000000
angle : 43.890381, distance : 0.000000
angle : 44.187012, distance : 0.000000
angle : 44.511108, distance : 0.000000
angle : 44.857178, distance : 0.000000
angle : 45.197754, distance : 0.000000
angle : 45.543823, distance : 0.000000
angle : 45.873413, distance : 0.000000
angle : 46.213989, distance : 0.000000
angle : 46.560059, distance : 0.000000
angle : 46.889648, distance : 0.000000
angle : 47.230225, distance : 0.000000
angle : 47.576294, distance : 0.000000
angle : 47.916870, distance : 0.000000
angle : 48.246460, distance : 0.000000
angle : 48.592529, distance : 0.000000
angle : 48.933105, distance : 0.000000
angle : 49.218750, distance : 0.000000
angle : 49.559326, distance : 0.000000
angle : 49.888916, distance : 0.000000
angle : 50.229492, distance : 0.000000
angle : 50.575562, distance : 0.000000
angle : 50.921631, distance : 0.000000
angle : 51.245728, distance : 0.000000
angle : 51.591797, distance : 0.000000
angle : 51.932373, distance : 0.000000
angle : 52.261963, distance : 0.000000
angle : 52.608032, distance : 0.000000
angle : 52.948608, distance : 0.000000
angle : 53.964844, distance : 0.000000
angle : 54.244995, distance : 0.000000
angle : 54.591064, distance : 0.000000
angle : 54.937134, distance : 0.000000
angle : 55.261230, distance : 0.000000
angle : 55.607300, distance : 0.000000
angle : 55.947876, distance : 0.000000
angle : 56.293945, distance : 0.000000
angle : 56.623535, distance : 0.000000
angle : 56.964111, distance : 0.000000
angle : 57.183838, distance : 0.000000
angle : 57.310181, distance : 0.000000
angle : 57.546387, distance : 0.000000
angle : 57.656250, distance : 0.000000
angle : 57.980347, distance : 0.000000
angle : 59.013062, distance : 0.000000
angle : 59.232788, distance : 0.000000
angle : 59.919434, distance : 0.000000
angle : 60.589600, distance : 0.000000
angle : 60.935669, distance : 0.000000
angle : 61.968384, distance : 0.000000
angle : 62.248535, distance : 0.000000
angle : 62.583618, distance : 0.000000
angle : 62.589111, distance : 0.000000
angle : 62.918701, distance : 0.000000
angle : 62.946167, distance : 0.000000
angle : 63.951416, distance : 0.000000
angle : 64.028320, distance : 0.000000
angle : 64.281006, distance : 0.000000
angle : 64.747925, distance : 0.000000
angle : 64.967651, distance : 0.000000
angle : 65.308228, distance : 0.000000
angle : 65.637817, distance : 0.000000
angle : 65.824585, distance : 0.000000
angle : 65.983887, distance : 0.000000
angle : 66.187134, distance : 0.000000
angle : 67.011108, distance : 0.000000
angle : 67.637329, distance : 0.000000
angle : 67.966919, distance : 0.000000
angle : 67.988892, distance : 0.000000
angle : 68.345947, distance : 0.000000
angle : 68.933716, distance : 0.000000
angle : 69.279785, distance : 0.000000
angle : 69.428101, distance : 0.000000
angle : 69.620361, distance : 0.000000
angle : 69.949951, distance : 0.000000
angle : 70.296021, distance : 0.000000
angle : 70.636597, distance : 0.000000
angle : 70.982666, distance : 0.000000
angle : 71.224365, distance : 0.000000
angle : 71.312256, distance : 0.000000
angle : 71.586914, distance : 0.000000
angle : 71.652832, distance : 0.000000
angle : 71.998901, distance : 0.000000
angle : 72.306519, distance : 0.000000
angle : 72.339478, distance : 0.000000
angle : 72.669067, distance : 0.000000
angle : 73.015137, distance : 0.000000
angle : 73.355713, distance : 0.000000
angle : 73.388672, distance : 0.000000
angle : 73.701782, distance : 0.000000
angle : 73.745728, distance : 0.000000
angle : 74.042358, distance : 0.000000
angle : 74.371948, distance : 0.000000
angle : 74.718018, distance : 0.000000
angle : 75.058594, distance : 0.000000
angle : 75.404663, distance : 0.000000
angle : 75.734253, distance : 0.000000
angle : 76.074829, distance : 0.000000
angle : 76.420898, distance : 0.000000
angle : 76.761475, distance : 0.000000
angle : 77.107544, distance : 0.000000
angle : 77.437134, distance : 0.000000
angle : 77.777710, distance : 0.000000
angle : 78.123779, distance : 0.000000
angle : 78.464355, distance : 0.000000
angle : 78.793945, distance : 0.000000
angle : 79.140015, distance : 0.000000
