angle : 0.324097, distance : 0.000000, cluster : 0
angle : 0.653687, distance : 0.000000, cluster : 0
angle : 0.999756, distance : 0.000000, cluster : 0
angle : 1.323853, distance : 0.000000, cluster : 0
angle : 1.669922, distance : 0.000000, cluster : 0
angle : 1.999512, distance : 0.000000, cluster : 0
angle : 2.340088, distance : 0.000000, cluster : 0
angle : 2.669678, distance : 0.000000, cluster : 0
angle : 2.949829, distance : 0.000000, cluster : 0
angle : 3.619995, distance : 0.000000, cluster : 0
angle : 3.982544, distance : 0.000000, cluster : 0
angle : 4.295654, distance : 0.000000, cluster : 0
angle : 4.636230, distance : 0.000000, cluster : 0
angle : 4.702148, distance : 0.000000, cluster : 0
angle : 4.965820, distance : 0.000000, cluster : 0
angle : 5.059204, distance : 0.000000, cluster : 0
angle : 5.311890, distance : 0.000000, cluster : 0
angle : 5.635986, distance : 0.000000, cluster : 0
angle : 5.982056, distance : 0.000000, cluster : 0
angle : 6.311646, distance : 0.000000, cluster : 0
angle : 6.652222, distance : 0.000000, cluster : 0
angle : 6.981812, distance : 0.000000, cluster : 0
angle : 7.327881, distance : 0.000000, cluster : 0
angle : 7.668457, distance : 0.000000, cluster : 0
angle : 7.998047, distance : 0.000000, cluster : 0
angle : 8.338623, distance : 0.000000, cluster : 0
angle : 8.668213, distance : 0.000000, cluster : 0
angle : 9.014282, distance : 0.000000, cluster : 0
angle : 9.338379, distance : 0.000000, cluster : 0
angle : 9.684448, distance : 0.000000, cluster : 0
angle : 10.014038, distance : 0.000000, cluster : 0
angle : 10.404053, distance : 0.000000, cluster : 0
angle : 10.744629, distance : 0.000000, cluster : 0
angle : 11.074219, distance : 0.000000, cluster : 0
angle : 11.420288, distance : 0.000000, cluster : 0
angle : 11.749878, distance : 0.000000, cluster : 0
angle : 12.090454, distance : 0.000000, cluster : 0
angle : 12.420044, distance : 0.000000, cluster : 0
angle : 12.760620, distance : 0.000000, cluster : 0
angle : 13.090210, distance : 0.000000, cluster : 0
angle : 13.436279, distance : 0.000000, cluster : 0
angle : 13.760376, distance : 0.000000, cluster : 0
angle : 14.106445, distance : 0.000000, cluster : 0
angle : 14.452515, distance : 0.000000, cluster : 0
angle : 14.776611, distance : 0.000000, cluster : 0
angle : 15.122681, distance : 0.000000, cluster : 0
angle : 15.452271, distance : 0.000000, cluster : 0
angle : 15.792847, distance : 0.000000, cluster : 0
angle : 16.122437, distance : 0.000000, cluster : 0
angle : 16.468506, distance : 0.000000, cluster : 0
angle : 16.792603, distance : 0.000000, cluster : 0
angle : 17.138672, distance : 0.000000, cluster : 0
angle : 17.468262, distance : 0.000000, cluster : 0
angle : 17.808838, distance : 0.000000, cluster : 0
angle : 18.138428, distance : 0.000000, cluster : 0
angle : 18.479004, distance : 0.000000, cluster : 0
angle : 18.808594, distance : 0.000000, cluster : 0
angle : 19.154663, distance : 0.000000, cluster : 0
