angle : 0.060425, distance : 0.836000
angle : 0.390015, distance : 0.840000
angle : 0.730591, distance : 0.842000
angle : 1.076660, distance : 0.844000
angle : 1.356812, distance : 0.848000
angle : 1.686401, distance : 0.850000
angle : 2.026978, distance : 0.852000
angle : 2.356567, distance : 0.856000
angle : 2.702637, distance : 0.856000
angle : 3.043213, distance : 0.862000
angle : 3.372803, distance : 0.864000
angle : 3.713379, distance : 0.866000
angle : 4.042969, distance : 0.870000
angle : 4.389038, distance : 0.872000
angle : 4.718628, distance : 0.874000
angle : 5.059204, distance : 0.878000
angle : 5.339355, distance : 0.882000
angle : 5.685425, distance : 0.884000
angle : 6.015015, distance : 0.886000
angle : 7.031250, distance : 0.900000
angle : 7.371826, distance : 0.904000
angle : 7.404785, distance : 0.000000
angle : 7.701416, distance : 0.906000
angle : 7.767334, distance : 0.000000
angle : 8.041992, distance : 0.908000
angle : 8.327637, distance : 0.912000
angle : 8.651733, distance : 0.914000
angle : 8.997803, distance : 0.918000
angle : 9.327393, distance : 0.924000
angle : 9.667969, distance : 0.928000
angle : 10.014038, distance : 0.932000
angle : 10.343628, distance : 0.938000
angle : 10.684204, distance : 0.942000
angle : 11.013794, distance : 0.944000
angle : 11.293945, distance : 0.948000
angle : 11.640015, distance : 0.952000
angle : 11.980591, distance : 0.958000
angle : 12.310181, distance : 0.964000
angle : 12.656250, distance : 0.968000
angle : 12.980347, distance : 0.972000
angle : 13.326416, distance : 0.976000
angle : 13.656006, distance : 0.980000
angle : 13.936157, distance : 0.984000
angle : 14.666748, distance : 0.948000
angle : 15.062256, distance : 0.944000
angle : 15.342407, distance : 0.946000
angle : 15.682983, distance : 0.948000
angle : 16.045532, distance : 0.000000
angle : 16.072998, distance : 0.936000
angle : 16.419067, distance : 0.918000
angle : 16.748657, distance : 0.920000
angle : 17.089233, distance : 0.920000
angle : 17.418823, distance : 0.914000
angle : 17.764893, distance : 0.912000
angle : 18.105469, distance : 0.920000
angle : 18.435059, distance : 0.916000
angle : 18.825073, distance : 0.900000
angle : 19.171143, distance : 0.900000
angle : 19.511719, distance : 0.906000
angle : 19.791870, distance : 0.912000
angle : 20.121460, distance : 0.918000
angle : 20.467529, distance : 0.924000
angle : 20.791626, distance : 0.930000
angle : 21.137695, distance : 0.936000
angle : 21.467285, distance : 0.944000
angle : 21.747437, distance : 0.950000
angle : 22.093506, distance : 0.958000
angle : 22.434082, distance : 0.964000
angle : 22.763672, distance : 0.972000
angle : 23.104248, distance : 0.980000
angle : 23.389893, distance : 0.986000
angle : 24.060059, distance : 0.994000
angle : 24.856567, distance : 1.204000
angle : 25.202637, distance : 1.210000
angle : 25.872803, distance : 1.194000
angle : 26.125488, distance : 0.000000
angle : 26.845093, distance : 0.000000
angle : 26.889038, distance : 1.206000
angle : 27.207642, distance : 0.000000
angle : 27.218628, distance : 1.196000
angle : 27.559204, distance : 1.206000
angle : 27.905273, distance : 1.206000
angle : 28.229370, distance : 1.188000
angle : 28.284302, distance : 0.000000
angle : 28.575439, distance : 1.178000
angle : 28.921509, distance : 1.172000
angle : 29.009399, distance : 0.000000
angle : 29.245605, distance : 1.178000
angle : 29.366455, distance : 0.000000
angle : 29.591675, distance : 1.192000
angle : 29.932251, distance : 1.194000
angle : 30.261841, distance : 1.196000
angle : 30.607910, distance : 1.218000
angle : 30.888062, distance : 1.230000
angle : 31.278076, distance : 1.228000
angle : 31.558228, distance : 1.238000
angle : 31.904297, distance : 1.262000
angle : 32.244873, distance : 1.282000
angle : 32.530518, distance : 1.298000
angle : 32.854614, distance : 1.298000
angle : 33.200684, distance : 1.302000
angle : 33.546753, distance : 1.308000
angle : 33.870850, distance : 1.302000
angle : 34.216919, distance : 1.298000
