angle : 0.258179, distance : 0.000000
angle : 0.620728, distance : 0.000000
angle : 0.977783, distance : 0.000000
angle : 1.340332, distance : 0.000000
angle : 1.483154, distance : 0.000000
angle : 1.697388, distance : 0.000000
angle : 1.807251, distance : 0.000000
angle : 2.076416, distance : 0.000000
angle : 2.466431, distance : 0.000000
angle : 2.796021, distance : 0.000000
angle : 3.795776, distance : 0.000000
angle : 3.861694, distance : 0.000000
angle : 4.218750, distance : 0.000000
angle : 4.888916, distance : 0.000000
angle : 4.938354, distance : 0.000000
angle : 5.218506, distance : 0.000000
angle : 5.300903, distance : 0.000000
angle : 5.888672, distance : 0.000000
angle : 6.377563, distance : 0.000000
angle : 7.097168, distance : 0.000000
angle : 7.459717, distance : 0.000000
angle : 7.822266, distance : 0.000000
angle : 8.179321, distance : 0.000000
angle : 8.541870, distance : 0.000000
angle : 8.898926, distance : 0.000000
angle : 9.261475, distance : 0.000000
angle : 9.618530, distance : 0.000000
angle : 9.981079, distance : 0.000000
angle : 10.338135, distance : 0.000000
angle : 10.700684, distance : 0.000000
angle : 10.827026, distance : 0.000000
angle : 11.057739, distance : 0.000000
angle : 11.420288, distance : 0.000000
angle : 11.777344, distance : 0.000000
angle : 12.387085, distance : 0.920000
angle : 12.502441, distance : 0.000000
angle : 12.716675, distance : 0.918000
angle : 12.859497, distance : 0.000000
angle : 13.046265, distance : 0.912000
angle : 13.370361, distance : 0.918000
angle : 13.699951, distance : 0.920000
angle : 14.029541, distance : 0.912000
angle : 14.419556, distance : 0.910000
angle : 14.683228, distance : 0.912000
angle : 15.012817, distance : 0.920000
angle : 15.342407, distance : 0.930000
angle : 15.666504, distance : 0.942000
angle : 15.952148, distance : 0.952000
angle : 16.276245, distance : 0.964000
angle : 16.605835, distance : 0.976000
angle : 16.875000, distance : 0.986000
angle : 17.199097, distance : 0.998000
angle : 17.528687, distance : 1.012000
angle : 17.808838, distance : 1.026000
angle : 18.138428, distance : 1.040000
angle : 18.468018, distance : 1.052000
angle : 18.792114, distance : 1.066000
angle : 19.061279, distance : 1.080000
angle : 19.385376, distance : 1.096000
angle : 19.731445, distance : 1.112000
angle : 19.995117, distance : 1.128000
angle : 20.324707, distance : 1.142000
angle : 20.654297, distance : 1.158000
angle : 20.934448, distance : 1.178000
angle : 21.264038, distance : 1.196000
angle : 21.593628, distance : 1.212000
angle : 21.857300, distance : 1.232000
angle : 22.186890, distance : 0.000000
angle : 22.510986, distance : 0.000000
angle : 22.840576, distance : 0.000000
angle : 23.120728, distance : 0.000000
angle : 23.450317, distance : 0.000000
angle : 23.779907, distance : 0.000000
angle : 24.043579, distance : 0.000000
angle : 24.373169, distance : 0.000000
angle : 24.702759, distance : 0.000000
angle : 24.982910, distance : 0.000000
angle : 25.312500, distance : 0.000000
angle : 25.636597, distance : 0.000000
angle : 25.905762, distance : 0.000000
angle : 26.246338, distance : 0.000000
angle : 26.575928, distance : 0.000000
angle : 27.498779, distance : 0.000000
angle : 29.778442, distance : 0.000000
angle : 30.140991, distance : 0.000000
angle : 30.860596, distance : 0.000000
angle : 31.124268, distance : 0.000000
angle : 31.217651, distance : 0.000000
angle : 31.448364, distance : 0.000000
angle : 31.580200, distance : 0.000000
angle : 31.937256, distance : 0.000000
angle : 32.041626, distance : 0.000000
angle : 32.299805, distance : 0.000000
angle : 32.371216, distance : 0.000000
angle : 32.662354, distance : 0.000000
angle : 32.700806, distance : 0.000000
angle : 33.019409, distance : 0.000000
angle : 33.370972, distance : 0.000000
angle : 33.381958, distance : 0.000000
angle : 33.739014, distance : 0.000000
angle : 34.101562, distance : 0.000000
angle : 34.733276, distance : 0.000000
angle : 35.123291, distance : 0.000000
angle : 35.178223, distance : 0.000000
angle : 35.452881, distance : 0.000000
angle : 35.776978, distance : 0.000000
angle : 36.106567, distance : 0.000000
angle : 36.436157, distance : 0.000000
angle : 36.617432, distance : 0.000000
angle : 37.265625, distance : 0.000000
angle : 37.342529, distance : 0.000000
angle : 37.589722, distance : 0.000000
angle : 37.699585, distance : 0.000000
angle : 37.919312, distance : 0.000000
angle : 38.062134, distance : 0.000000
angle : 38.248901, distance : 0.000000
angle : 38.638916, distance : 0.000000
angle : 38.968506, distance : 0.000000
angle : 39.292603, distance : 0.000000
angle : 39.622192, distance : 0.000000
angle : 39.951782, distance : 0.000000
angle : 40.275879, distance : 0.000000
angle : 40.578003, distance : 0.000000
angle : 40.605469, distance : 0.000000
angle : 41.588745, distance : 0.000000
angle : 41.918335, distance : 0.000000
angle : 42.577515, distance : 0.000000
angle : 43.577271, distance : 0.000000
angle : 44.560547, distance : 0.000000
angle : 44.890137, distance : 0.000000
angle : 44.901123, distance : 0.000000
angle : 45.258179, distance : 0.000000
angle : 45.543823, distance : 0.000000
angle : 45.873413, distance : 0.000000
angle : 46.340332, distance : 0.000000
angle : 46.527100, distance : 0.000000
angle : 46.856689, distance : 0.000000
angle : 47.059937, distance : 0.000000
angle : 47.422485, distance : 0.000000
angle : 47.449951, distance : 0.000000
angle : 48.109131, distance : 0.000000
angle : 48.142090, distance : 0.000000
angle : 48.433228, distance : 0.000000
angle : 48.499146, distance : 0.000000
angle : 48.762817, distance : 0.000000
angle : 49.108887, distance : 0.000000
angle : 49.432983, distance : 0.000000
angle : 49.581299, distance : 0.000000
angle : 49.762573, distance : 0.000000
angle : 50.092163, distance : 0.000000
angle : 50.421753, distance : 0.000000
angle : 50.657959, distance : 0.000000
angle : 51.740112, distance : 0.000000
angle : 52.058716, distance : 0.000000
angle : 52.388306, distance : 0.000000
angle : 52.459717, distance : 0.000000
angle : 52.717896, distance : 0.000000
angle : 53.041992, distance : 0.000000
angle : 53.437500, distance : 0.000000
angle : 53.701172, distance : 0.000000
