angle : 0.076904, distance : 1.028000
angle : 0.417480, distance : 1.028000
angle : 0.763550, distance : 1.028000
angle : 1.104126, distance : 1.030000
angle : 1.450195, distance : 1.028000
angle : 1.796265, distance : 1.026000
angle : 2.136841, distance : 1.028000
angle : 2.482910, distance : 1.028000
angle : 2.823486, distance : 1.028000
angle : 3.169556, distance : 1.028000
angle : 3.515625, distance : 1.028000
angle : 3.856201, distance : 1.028000
angle : 4.202271, distance : 1.028000
angle : 4.542847, distance : 1.028000
angle : 4.888916, distance : 1.030000
angle : 5.229492, distance : 1.030000
angle : 5.575562, distance : 1.028000
angle : 5.982056, distance : 1.020000
angle : 6.328125, distance : 1.016000
angle : 6.652222, distance : 1.018000
angle : 6.998291, distance : 1.018000
angle : 7.338867, distance : 1.020000
angle : 7.684937, distance : 1.020000
angle : 8.031006, distance : 1.024000
angle : 9.052734, distance : 0.000000
angle : 9.415283, distance : 0.000000
angle : 9.772339, distance : 0.000000
angle : 10.134888, distance : 0.000000
angle : 10.167847, distance : 0.000000
angle : 10.491943, distance : 0.000000
angle : 10.513916, distance : 0.000000
angle : 10.854492, distance : 0.000000
angle : 10.903931, distance : 0.000000
angle : 11.211548, distance : 0.000000
angle : 11.250000, distance : 0.000000
angle : 11.590576, distance : 0.000000
angle : 11.887207, distance : 0.000000
angle : 12.233276, distance : 0.000000
angle : 12.557373, distance : 0.000000
angle : 13.590088, distance : 0.000000
angle : 13.886719, distance : 0.000000
angle : 14.232788, distance : 0.000000
angle : 14.452515, distance : 0.000000
angle : 14.573364, distance : 0.000000
angle : 14.815063, distance : 0.000000
angle : 14.919434, distance : 0.000000
angle : 15.265503, distance : 0.000000
angle : 15.606079, distance : 0.000000
angle : 15.952148, distance : 0.000000
angle : 16.292725, distance : 0.000000
angle : 16.638794, distance : 0.000000
angle : 16.979370, distance : 0.000000
angle : 17.308960, distance : 0.000000
angle : 17.655029, distance : 0.000000
angle : 18.682251, distance : 0.000000
angle : 19.852295, distance : 0.000000
angle : 20.214844, distance : 0.000000
angle : 20.934448, distance : 0.000000
angle : 21.291504, distance : 0.000000
angle : 21.654053, distance : 0.000000
angle : 22.011108, distance : 0.000000
angle : 22.197876, distance : 0.552000
angle : 22.543945, distance : 0.550000
angle : 22.890015, distance : 0.550000
angle : 23.230591, distance : 0.550000
angle : 23.576660, distance : 0.550000
angle : 23.966675, distance : 0.544000
angle : 24.307251, distance : 0.544000
angle : 24.653320, distance : 0.544000
angle : 24.999390, distance : 0.542000
angle : 25.339966, distance : 0.538000
angle : 25.686035, distance : 0.542000
angle : 25.966187, distance : 0.548000
angle : 26.372681, distance : 0.544000
angle : 26.718750, distance : 0.542000
