angle : 29.314270, distance : 3.755000
angle : 36.651630, distance : 3.578839
angle : 45.912651, distance : 3.481714
angle : -nan, distance : -nan
angle : 78.413849, distance : 3.427415
angle : -nan, distance : -nan
angle : -nan, distance : -nan
angle : 86.874390, distance : 3.272000
angle : 89.579224, distance : 1.063200
angle : 98.216042, distance : 3.265895
angle : -nan, distance : -nan
angle : -nan, distance : -nan
angle : -nan, distance : -nan
angle : -nan, distance : -nan
angle : -nan, distance : -nan
angle : 155.685425, distance : 3.162667
angle : -nan, distance : -nan
angle : 184.974777, distance : 0.473497
angle : -nan, distance : -nan
angle : 221.918335, distance : 1.754000
angle : -nan, distance : -nan
angle : 231.685181, distance : 2.420000
angle : -nan, distance : -nan
angle : -nan, distance : -nan
angle : 243.561401, distance : 3.248000
angle : -nan, distance : -nan
angle : 254.910278, distance : 1.881000
angle : 255.871582, distance : 1.896000
angle : 261.919556, distance : 2.852000
angle : -nan, distance : -nan
angle : 281.403809, distance : 2.808000
angle : -nan, distance : -nan
angle : 285.650024, distance : 1.815200
angle : -nan, distance : -nan
angle : -nan, distance : -nan
angle : 311.075134, distance : 2.256000
angle : -nan, distance : -nan
angle : -nan, distance : -nan
angle : -nan, distance : -nan
angle : 316.796265, distance : 3.708000
angle : -nan, distance : -nan
angle : 324.497681, distance : 3.658000
angle : -nan, distance : -nan
angle : 326.420288, distance : 1.884000
angle : -nan, distance : -nan
angle : -nan, distance : -nan
