angle : 0.197754, distance : 1.004000
angle : 0.527344, distance : 1.002000
angle : 0.873413, distance : 1.004000
angle : 1.203003, distance : 1.004000
angle : 1.543579, distance : 1.000000
angle : 1.889648, distance : 1.000000
angle : 2.213745, distance : 1.000000
angle : 2.559814, distance : 1.000000
angle : 2.889404, distance : 1.002000
angle : 3.229980, distance : 1.004000
angle : 3.576050, distance : 1.006000
angle : 3.905640, distance : 1.008000
angle : 4.246216, distance : 1.004000
angle : 4.592285, distance : 1.006000
angle : 4.921875, distance : 1.006000
angle : 5.262451, distance : 1.000000
angle : 5.592041, distance : 1.000000
angle : 5.932617, distance : 1.000000
angle : 6.278687, distance : 1.002000
angle : 6.608276, distance : 1.002000
angle : 6.948853, distance : 1.004000
angle : 7.278442, distance : 1.006000
angle : 7.624512, distance : 1.008000
angle : 7.965088, distance : 1.020000
angle : 8.245239, distance : 1.032000
angle : 8.574829, distance : 1.030000
angle : 8.920898, distance : 1.026000
angle : 9.310913, distance : 1.018000
angle : 9.651489, distance : 1.010000
angle : 9.981079, distance : 1.008000
angle : 10.327148, distance : 1.006000
angle : 10.667725, distance : 0.996000
angle : 10.997314, distance : 0.990000
angle : 11.343384, distance : 0.988000
angle : 11.667480, distance : 0.984000
angle : 12.073975, distance : 0.980000
angle : 12.403564, distance : 0.976000
angle : 12.963867, distance : 1.028000
angle : 13.035278, distance : 0.000000
angle : 13.699951, distance : 0.990000
angle : 13.754883, distance : 0.000000
angle : 14.046021, distance : 0.996000
angle : 14.370117, distance : 0.998000
angle : 14.716187, distance : 1.000000
angle : 15.062256, distance : 1.006000
angle : 15.386353, distance : 1.012000
angle : 16.062012, distance : 1.010000
angle : 16.270752, distance : 0.000000
angle : 16.342163, distance : 1.036000
angle : 16.682739, distance : 1.032000
angle : 17.028809, distance : 1.040000
angle : 17.358398, distance : 1.046000
angle : 17.698975, distance : 1.048000
angle : 18.028564, distance : 1.052000
angle : 18.374634, distance : 1.060000
angle : 18.715210, distance : 1.068000
angle : 18.995361, distance : 1.080000
angle : 19.324951, distance : 1.096000
angle : 20.061035, distance : 1.066000
angle : 20.401611, distance : 1.068000
angle : 20.593872, distance : 0.000000
angle : 20.687256, distance : 1.070000
angle : 21.011353, distance : 1.072000
angle : 21.357422, distance : 1.078000
angle : 22.027588, distance : 1.096000
angle : 22.752686, distance : 0.000000
angle : 23.472290, distance : 0.000000
angle : 23.499756, distance : 2.034000
angle : 23.834839, distance : 0.000000
angle : 24.191895, distance : 0.000000
angle : 24.230347, distance : 3.104000
angle : 24.554443, distance : 0.000000
angle : 24.576416, distance : 3.112000
angle : 24.906006, distance : 3.120000
angle : 24.911499, distance : 0.000000
angle : 25.246582, distance : 3.120000
angle : 25.592651, distance : 3.120000
angle : 25.631104, distance : 0.000000
angle : 25.916748, distance : 3.140000
angle : 25.993652, distance : 0.000000
angle : 26.262817, distance : 3.120000
angle : 26.652832, distance : 3.060000
angle : 26.998901, distance : 3.000000
angle : 27.322998, distance : 2.948000
angle : 27.669067, distance : 2.908000
angle : 28.015137, distance : 2.860000
angle : 28.339233, distance : 2.812000
angle : 28.685303, distance : 2.764000
angle : 29.075317, distance : 2.720000
angle : 29.421387, distance : 2.676000
angle : 29.745483, distance : 2.636000
angle : 30.091553, distance : 2.600000
angle : 30.432129, distance : 2.568000
angle : 30.761719, distance : 2.528000
angle : 31.107788, distance : 2.492000
angle : 31.497803, distance : 2.456000
angle : 31.838379, distance : 2.424000
angle : 32.167969, distance : 2.388000
angle : 32.514038, distance : 2.360000
angle : 32.854614, distance : 2.352000
angle : 33.184204, distance : 2.356000
angle : 33.530273, distance : 2.364000
angle : 33.854370, distance : 2.368000
angle : 34.200439, distance : 2.380000
angle : 34.546509, distance : 2.388000
angle : 34.870605, distance : 2.392000
angle : 35.216675, distance : 2.400000
angle : 35.557251, distance : 2.408000
angle : 35.886841, distance : 2.412000
angle : 36.232910, distance : 2.420000
angle : 36.562500, distance : 2.424000
angle : 36.903076, distance : 2.432000
angle : 37.249146, distance : 2.440000
angle : 37.573242, distance : 2.448000
angle : 37.858887, distance : 2.460000
angle : 38.199463, distance : 2.468000
angle : 38.545532, distance : 2.476000
angle : 38.869629, distance : 2.488000
angle : 39.215698, distance : 2.496000
angle : 39.561768, distance : 2.508000
angle : 39.885864, distance : 2.528000
angle : 40.231934, distance : 2.536000
angle : 40.561523, distance : 2.528000
angle : 40.902100, distance : 2.540000
angle : 41.248169, distance : 2.548000
angle : 41.577759, distance : 2.560000
angle : 41.918335, distance : 2.572000
angle : 42.264404, distance : 2.580000
angle : 42.588501, distance : 2.588000
angle : 42.934570, distance : 2.600000
angle : 43.264160, distance : 2.616000
angle : 43.604736, distance : 2.624000
angle : 43.950806, distance : 2.636000
angle : 44.280396, distance : 2.652000
angle : 44.620972, distance : 2.664000
angle : 44.967041, distance : 2.680000
angle : 45.296631, distance : 2.688000
angle : 45.637207, distance : 2.692000
angle : 45.966797, distance : 2.700000
angle : 46.307373, distance : 2.716000
angle : 46.653442, distance : 2.728000
angle : 46.933594, distance : 2.740000
angle : 47.263184, distance : 2.756000
angle : 47.609253, distance : 2.768000
angle : 47.949829, distance : 2.776000
angle : 48.279419, distance : 2.792000
angle : 48.619995, distance : 2.808000
angle : 48.949585, distance : 2.832000
