angle : 27.839355, distance : 0.768000
angle : 28.168945, distance : 0.766000
angle : 28.515015, distance : 0.762000
angle : 28.855591, distance : 0.764000
angle : 29.185181, distance : 0.768000
angle : 29.531250, distance : 0.768000
angle : 29.811401, distance : 0.770000
angle : 30.498047, distance : 0.776000
angle : 54.201050, distance : 1.792000
angle : 54.530640, distance : 1.802000
angle : 54.871216, distance : 1.810000
angle : 55.217285, distance : 1.822000
angle : 55.546875, distance : 1.832000
angle : 55.887451, distance : 1.842000
angle : 56.217041, distance : 1.848000
angle : 56.557617, distance : 1.858000
angle : 56.903687, distance : 1.868000
angle : 57.233276, distance : 1.880000
angle : 57.513428, distance : 1.892000
angle : 57.854004, distance : 1.902000
angle : 58.183594, distance : 1.914000
angle : 58.859253, distance : 1.926000
angle : 59.309692, distance : 1.666000
angle : 59.655762, distance : 1.664000
angle : 59.979858, distance : 1.656000
angle : 60.325928, distance : 1.646000
angle : 60.715942, distance : 1.636000
angle : 61.062012, distance : 1.628000
angle : 61.386108, distance : 1.622000
angle : 61.732178, distance : 1.616000
angle : 62.061768, distance : 1.606000
angle : 62.402344, distance : 1.592000
angle : 63.182373, distance : 1.446000
angle : 63.528442, distance : 1.442000
angle : 64.198608, distance : 1.446000
angle : 64.824829, distance : 1.520000
angle : 65.154419, distance : 1.512000
angle : 65.824585, distance : 1.504000
angle : 66.170654, distance : 1.498000
angle : 66.511230, distance : 1.490000
angle : 66.840820, distance : 1.484000
angle : 67.186890, distance : 1.478000
angle : 67.510986, distance : 1.474000
angle : 67.857056, distance : 1.470000
angle : 68.203125, distance : 1.466000
angle : 69.202881, distance : 1.460000
angle : 69.653320, distance : 1.300000
angle : 70.323486, distance : 1.296000
angle : 71.619873, distance : 1.422000
angle : 71.965942, distance : 1.418000
angle : 72.295532, distance : 1.412000
angle : 72.965698, distance : 1.410000
angle : 73.311768, distance : 1.404000
angle : 73.635864, distance : 1.400000
angle : 73.981934, distance : 1.398000
angle : 74.328003, distance : 1.394000
angle : 74.652100, distance : 1.392000
angle : 74.998169, distance : 1.388000
angle : 75.327759, distance : 1.386000
angle : 76.794434, distance : 1.786000
angle : 77.140503, distance : 1.808000
angle : 77.464600, distance : 1.832000
angle : 77.810669, distance : 1.858000
angle : 78.140259, distance : 1.886000
angle : 78.420410, distance : 1.916000
angle : 78.760986, distance : 1.944000
angle : 79.090576, distance : 1.974000
angle : 86.511841, distance : 1.332000
angle : 86.857910, distance : 1.332000
angle : 87.187500, distance : 1.332000
angle : 87.528076, distance : 1.332000
angle : 101.683960, distance : 1.370000
angle : 102.030029, distance : 1.370000
angle : 102.354126, distance : 1.374000
angle : 102.700195, distance : 1.380000
angle : 111.840820, distance : 1.418000
angle : 112.796631, distance : 1.484000
angle : 113.137207, distance : 1.490000
angle : 113.466797, distance : 1.498000
angle : 113.807373, distance : 1.520000
angle : 129.589233, distance : 1.724000
angle : 129.935303, distance : 1.728000
angle : 148.249512, distance : 0.734000
angle : 148.590088, distance : 0.732000
angle : 148.919678, distance : 0.728000
angle : 149.260254, distance : 0.732000
angle : 149.606323, distance : 0.734000
angle : 149.935913, distance : 0.734000
angle : 150.276489, distance : 0.738000
angle : 163.828125, distance : 0.482000
angle : 164.152222, distance : 0.481000
angle : 164.498291, distance : 0.481000
angle : 164.838867, distance : 0.480000
angle : 165.184937, distance : 0.478000
angle : 165.514526, distance : 0.477000
angle : 165.855103, distance : 0.476000
angle : 166.201172, distance : 0.476000
angle : 166.530762, distance : 0.476000
angle : 166.871338, distance : 0.475000
angle : 167.217407, distance : 0.474000
angle : 167.541504, distance : 0.473000
angle : 167.947998, distance : 0.472000
angle : 168.277588, distance : 0.471000
angle : 168.623657, distance : 0.471000
angle : 168.964233, distance : 0.470000
angle : 169.293823, distance : 0.470000
