dist : 0.980525, i : 0, j : 2
dist : 1.012141, i : 0, j : 3
dist : 1.367821, i : 0, j : 7
dist : 1.302884, i : 0, j : 14
dist : 1.212562, i : 0, j : 16
dist : 1.310041, i : 0, j : 18
dist : 1.317789, i : 0, j : 19
dist : 0.921759, i : 0, j : 21
dist : 0.924977, i : 3, j : 8
dist : 0.990059, i : 3, j : 9
dist : 1.054911, i : 4, j : 8
dist : 1.025821, i : 7, j : 14
dist : 1.391419, i : 7, j : 16
dist : 0.947080, i : 8, j : 14
dist : 1.354823, i : 8, j : 16
dist : 1.001805, i : 9, j : 14
dist : 1.063454, i : 12, j : 14
dist : 1.351562, i : 14, j : 17
dist : 0.918392, i : 14, j : 18
dist : 0.936023, i : 14, j : 21
dist : 1.009322, i : 16, j : 17
dist : 0.882960, i : 17, j : 20
dist : 0.952354, i : 18, j : 20
