dist : 1.129749, i : 0, j : 1
dist : 0.980525, i : 0, j : 2
dist : 1.012141, i : 0, j : 3
dist : 1.490036, i : 0, j : 4
dist : 1.133311, i : 0, j : 5
dist : 0.000000, i : 0, j : 6
dist : 1.367821, i : 0, j : 7
dist : 1.527800, i : 0, j : 8
dist : 1.615780, i : 0, j : 9
dist : 0.000000, i : 0, j : 10
dist : 0.000000, i : 0, j : 11
dist : 2.017481, i : 0, j : 12
dist : 0.000000, i : 0, j : 13
dist : 1.302884, i : 0, j : 14
dist : 0.000000, i : 0, j : 15
dist : 1.212562, i : 0, j : 16
dist : 2.054553, i : 0, j : 17
dist : 1.310041, i : 0, j : 18
dist : 1.317789, i : 0, j : 19
dist : 1.981737, i : 0, j : 20
dist : 0.921759, i : 0, j : 21
dist : 0.357654, i : 1, j : 2
dist : 0.514443, i : 1, j : 3
dist : 0.615194, i : 1, j : 4
dist : 0.837746, i : 1, j : 5
dist : 0.000000, i : 1, j : 6
dist : 1.191560, i : 1, j : 7
dist : 1.430478, i : 1, j : 8
dist : 1.489807, i : 1, j : 9
dist : 0.000000, i : 1, j : 10
dist : 0.000000, i : 1, j : 11
dist : 2.003400, i : 1, j : 12
dist : 0.000000, i : 1, j : 13
dist : 1.881807, i : 1, j : 14
dist : 0.000000, i : 1, j : 15
dist : 2.038593, i : 1, j : 16
dist : 3.019717, i : 1, j : 17
dist : 2.309444, i : 1, j : 18
dist : 2.365764, i : 1, j : 19
dist : 3.091403, i : 1, j : 20
dist : 1.968056, i : 1, j : 21
dist : 0.164936, i : 2, j : 3
dist : 0.517867, i : 2, j : 4
dist : 0.492946, i : 2, j : 5
dist : 0.000000, i : 2, j : 6
dist : 0.852007, i : 2, j : 7
dist : 1.089857, i : 2, j : 8
dist : 1.154915, i : 2, j : 9
dist : 0.000000, i : 2, j : 10
dist : 0.000000, i : 2, j : 11
dist : 1.665991, i : 2, j : 12
dist : 0.000000, i : 2, j : 13
dist : 1.537172, i : 2, j : 14
dist : 0.000000, i : 2, j : 15
dist : 1.724611, i : 2, j : 16
dist : 2.721465, i : 2, j : 17
dist : 2.032931, i : 2, j : 18
dist : 2.107578, i : 2, j : 19
dist : 2.865126, i : 2, j : 20
dist : 1.719033, i : 2, j : 21
dist : 0.489418, i : 3, j : 4
dist : 0.328107, i : 3, j : 5
dist : 0.000000, i : 3, j : 6
dist : 0.687071, i : 3, j : 7
dist : 0.924977, i : 3, j : 8
dist : 0.990059, i : 3, j : 9
dist : 0.000000, i : 3, j : 10
dist : 0.000000, i : 3, j : 11
dist : 1.501062, i : 3, j : 12
dist : 0.000000, i : 3, j : 13
dist : 1.412840, i : 3, j : 14
dist : 0.000000, i : 3, j : 15
dist : 1.631053, i : 3, j : 16
dist : 2.636110, i : 3, j : 17
dist : 1.966964, i : 3, j : 18
dist : 2.053902, i : 3, j : 19
dist : 2.827738, i : 3, j : 20
dist : 1.674932, i : 3, j : 21
dist : 0.598200, i : 4, j : 5
dist : 0.000000, i : 4, j : 6
dist : 0.840363, i : 4, j : 7
dist : 1.054911, i : 4, j : 8
dist : 1.085550, i : 4, j : 9
dist : 0.000000, i : 4, j : 10
dist : 0.000000, i : 4, j : 11
dist : 1.579146, i : 4, j : 12
dist : 0.000000, i : 4, j : 13
dist : 1.781503, i : 4, j : 14
dist : 0.000000, i : 4, j : 15
dist : 2.059870, i : 4, j : 16
dist : 3.069145, i : 4, j : 17
dist : 2.427918, i : 4, j : 18
dist : 2.525282, i : 4, j : 19
dist : 3.308035, i : 4, j : 20
dist : 2.154134, i : 4, j : 21
dist : 0.000000, i : 5, j : 6
dist : 0.359496, i : 5, j : 7
dist : 0.596918, i : 5, j : 8
dist : 0.663361, i : 5, j : 9
dist : 0.000000, i : 5, j : 10
dist : 0.000000, i : 5, j : 11
dist : 1.173177, i : 5, j : 12
dist : 0.000000, i : 5, j : 13
dist : 1.184091, i : 5, j : 14
dist : 0.000000, i : 5, j : 15
dist : 1.469652, i : 5, j : 16
dist : 2.477599, i : 5, j : 17
dist : 1.858909, i : 5, j : 18
dist : 1.970245, i : 5, j : 19
dist : 2.767325, i : 5, j : 20
dist : 1.620008, i : 5, j : 21
dist : 0.000000, i : 6, j : 7
dist : 0.000000, i : 6, j : 8
dist : 0.000000, i : 6, j : 9
dist : 0.000000, i : 6, j : 10
dist : 0.000000, i : 6, j : 11
dist : 0.000000, i : 6, j : 12
dist : 0.000000, i : 6, j : 13
dist : 0.000000, i : 6, j : 14
dist : 0.000000, i : 6, j : 15
dist : 0.000000, i : 6, j : 16
dist : 0.000000, i : 6, j : 17
dist : 0.000000, i : 6, j : 18
dist : 0.000000, i : 6, j : 19
dist : 0.000000, i : 6, j : 20
dist : 0.000000, i : 6, j : 21
dist : 0.238921, i : 7, j : 8
dist : 0.304333, i : 7, j : 9
dist : 0.000000, i : 7, j : 10
dist : 0.000000, i : 7, j : 11
dist : 0.814039, i : 7, j : 12
dist : 0.000000, i : 7, j : 13
dist : 1.025821, i : 7, j : 14
dist : 0.000000, i : 7, j : 15
dist : 1.391419, i : 7, j : 16
dist : 2.372007, i : 7, j : 17
dist : 1.831035, i : 7, j : 18
dist : 1.967421, i : 7, j : 19
dist : 2.773283, i : 7, j : 20
dist : 1.662848, i : 7, j : 21
dist : 0.088212, i : 8, j : 9
dist : 0.000000, i : 8, j : 10
dist : 0.000000, i : 8, j : 11
dist : 0.576515, i : 8, j : 12
dist : 0.000000, i : 8, j : 13
dist : 0.947080, i : 8, j : 14
dist : 0.000000, i : 8, j : 15
dist : 1.354823, i : 8, j : 16
dist : 2.296206, i : 8, j : 17
dist : 1.816886, i : 8, j : 18
dist : 1.967364, i : 8, j : 19
dist : 2.768495, i : 8, j : 20
dist : 1.699440, i : 8, j : 21
dist : 0.000000, i : 9, j : 10
dist : 0.000000, i : 9, j : 11
dist : 0.513725, i : 9, j : 12
dist : 0.000000, i : 9, j : 13
dist : 1.001805, i : 9, j : 14
dist : 0.000000, i : 9, j : 15
dist : 1.418544, i : 9, j : 16
dist : 2.345579, i : 9, j : 17
dist : 1.884526, i : 9, j : 18
dist : 2.037863, i : 9, j : 19
dist : 2.836775, i : 9, j : 20
dist : 1.777555, i : 9, j : 21
dist : 0.000000, i : 10, j : 11
dist : 0.000000, i : 10, j : 12
dist : 0.000000, i : 10, j : 13
dist : 0.000000, i : 10, j : 14
dist : 0.000000, i : 10, j : 15
dist : 0.000000, i : 10, j : 16
dist : 0.000000, i : 10, j : 17
dist : 0.000000, i : 10, j : 18
dist : 0.000000, i : 10, j : 19
dist : 0.000000, i : 10, j : 20
dist : 0.000000, i : 10, j : 21
dist : 0.000000, i : 11, j : 12
dist : 0.000000, i : 11, j : 13
dist : 0.000000, i : 11, j : 14
dist : 0.000000, i : 11, j : 15
dist : 0.000000, i : 11, j : 16
dist : 0.000000, i : 11, j : 17
dist : 0.000000, i : 11, j : 18
dist : 0.000000, i : 11, j : 19
dist : 0.000000, i : 11, j : 20
dist : 0.000000, i : 11, j : 21
dist : 0.000000, i : 12, j : 13
dist : 1.063454, i : 12, j : 14
dist : 0.000000, i : 12, j : 15
dist : 1.504650, i : 12, j : 16
dist : 2.285117, i : 12, j : 17
dist : 1.978710, i : 12, j : 18
dist : 2.151615, i : 12, j : 19
dist : 2.911953, i : 12, j : 20
dist : 1.973987, i : 12, j : 21
dist : 0.000000, i : 13, j : 14
dist : 0.000000, i : 13, j : 15
dist : 0.000000, i : 13, j : 16
dist : 0.000000, i : 13, j : 17
dist : 0.000000, i : 13, j : 18
dist : 0.000000, i : 13, j : 19
dist : 0.000000, i : 13, j : 20
dist : 0.000000, i : 13, j : 21
dist : 0.000000, i : 14, j : 15
dist : 0.442435, i : 14, j : 16
dist : 1.351562, i : 14, j : 17
dist : 0.918392, i : 14, j : 18
dist : 1.088799, i : 14, j : 19
dist : 1.862880, i : 14, j : 20
dist : 0.936023, i : 14, j : 21
dist : 0.000000, i : 15, j : 16
dist : 0.000000, i : 15, j : 17
dist : 0.000000, i : 15, j : 18
dist : 0.000000, i : 15, j : 19
dist : 0.000000, i : 15, j : 20
dist : 0.000000, i : 15, j : 21
dist : 1.009322, i : 16, j : 17
dist : 0.476198, i : 16, j : 18
dist : 0.646971, i : 16, j : 19
dist : 1.424421, i : 16, j : 20
dist : 0.558632, i : 16, j : 21
dist : 0.745064, i : 17, j : 18
dist : 0.780136, i : 17, j : 19
dist : 0.882960, i : 17, j : 20
dist : 1.141216, i : 17, j : 21
dist : 0.182068, i : 18, j : 19
dist : 0.952354, i : 18, j : 20
dist : 0.398873, i : 18, j : 21
dist : 0.805877, i : 19, j : 20
dist : 0.400715, i : 19, j : 21
dist : 1.153909, i : 20, j : 21
