angle : 28.872681, distance : 0.768222
angle : 58.856201, distance : 1.727926
angle : 67.328018, distance : 1.457846
angle : 73.552971, distance : 1.402182
angle : 77.952805, distance : 1.875500
angle : 87.021332, distance : 1.332000
angle : -nan, distance : -nan
angle : 102.192078, distance : 1.373500
angle : 111.840820, distance : 1.418000
angle : 113.302002, distance : 1.498000
angle : -nan, distance : -nan
angle : -nan, distance : -nan
angle : 129.762268, distance : 1.726000
angle : -nan, distance : -nan
angle : 149.262604, distance : 0.733143
angle : -nan, distance : -nan
angle : 184.551941, distance : 0.470512
angle : 226.482376, distance : 1.309143
angle : 237.081558, distance : 0.581727
angle : 252.768478, distance : 0.651762
angle : 263.634155, distance : 1.436533
angle : 275.830872, distance : 0.290826
