angle : 2.169800, distance : 0.588000
angle : 2.449951, distance : 0.600000
angle : 5.026245, distance : 1.886000
angle : 9.058228, distance : 1.964000
angle : 9.404297, distance : 1.970000
angle : 10.074463, distance : 1.978000
angle : 11.151123, distance : 1.814000
angle : 11.497192, distance : 1.812000
angle : 11.843262, distance : 1.812000
angle : 12.183838, distance : 1.814000
angle : 12.513428, distance : 1.824000
angle : 13.480225, distance : 1.922000
angle : 13.826294, distance : 1.898000
angle : 14.216309, distance : 1.878000
angle : 14.562378, distance : 1.858000
angle : 14.902954, distance : 1.840000
angle : 15.249023, distance : 1.824000
angle : 15.573120, distance : 1.820000
angle : 15.919189, distance : 1.820000
angle : 16.265259, distance : 1.826000
angle : 16.605835, distance : 1.858000
angle : 16.951904, distance : 1.878000
angle : 17.276001, distance : 1.870000
angle : 17.622070, distance : 1.866000
angle : 17.968140, distance : 1.862000
angle : 18.308716, distance : 1.862000
angle : 18.654785, distance : 1.866000
angle : 18.984375, distance : 1.874000
angle : 19.281006, distance : 1.892000
angle : 26.466064, distance : 0.972000
angle : 27.152710, distance : 0.982000
angle : 35.623169, distance : 1.990000
angle : 35.963745, distance : 1.998000
angle : 53.464966, distance : 1.652000
angle : 54.201050, distance : 1.572000
angle : 54.541626, distance : 1.574000
angle : 54.887695, distance : 1.598000
angle : 55.217285, distance : 1.610000
angle : 55.557861, distance : 1.620000
angle : 55.903931, distance : 1.622000
angle : 56.250000, distance : 1.620000
angle : 56.590576, distance : 1.622000
angle : 56.870728, distance : 1.648000
angle : 57.216797, distance : 1.662000
angle : 58.233032, distance : 1.644000
angle : 65.560913, distance : 1.928000
angle : 65.901489, distance : 1.918000
angle : 66.231079, distance : 1.914000
angle : 67.247314, distance : 1.906000
angle : 68.670044, distance : 1.878000
angle : 68.999634, distance : 1.864000
angle : 69.340210, distance : 1.862000
angle : 69.686279, distance : 1.852000
angle : 70.010376, distance : 1.852000
angle : 70.356445, distance : 1.848000
angle : 70.702515, distance : 1.840000
angle : 71.026611, distance : 1.832000
angle : 71.372681, distance : 1.840000
angle : 111.511230, distance : 1.524000
angle : 112.186890, distance : 1.530000
angle : 112.467041, distance : 1.550000
angle : 113.153687, distance : 1.568000
angle : 113.483276, distance : 1.560000
angle : 113.823853, distance : 1.548000
angle : 114.169922, distance : 1.554000
angle : 114.499512, distance : 1.560000
angle : 114.840088, distance : 1.568000
angle : 115.186157, distance : 1.574000
angle : 115.510254, distance : 1.582000
angle : 115.856323, distance : 1.592000
angle : 116.202393, distance : 1.600000
angle : 155.451050, distance : 1.044000
angle : 156.467285, distance : 1.048000
angle : 157.824097, distance : 1.050000
angle : 158.450317, distance : 1.070000
angle : 174.776001, distance : 0.700000
angle : 175.122070, distance : 0.698000
angle : 175.468140, distance : 0.696000
angle : 178.187256, distance : 0.692000
angle : 178.511353, distance : 0.698000
angle : 178.857422, distance : 0.702000
angle : 179.137573, distance : 0.706000
angle : 179.483643, distance : 0.714000
angle : 184.416504, distance : 1.886000
angle : 184.746094, distance : 1.882000
angle : 185.092163, distance : 1.880000
angle : 185.432739, distance : 1.884000
angle : 185.762329, distance : 1.888000
angle : 186.108398, distance : 1.890000
angle : 186.388550, distance : 1.896000
angle : 186.729126, distance : 1.902000
angle : 187.075195, distance : 1.910000
angle : 187.421265, distance : 1.920000
angle : 187.745361, distance : 1.934000
angle : 188.091431, distance : 1.942000
angle : 188.437500, distance : 1.938000
angle : 188.761597, distance : 1.928000
angle : 189.107666, distance : 1.920000
angle : 189.448242, distance : 1.924000
angle : 189.794312, distance : 1.924000
angle : 190.123901, distance : 1.920000
angle : 190.464478, distance : 1.920000
angle : 190.810547, distance : 1.916000
angle : 191.140137, distance : 1.920000
angle : 191.480713, distance : 1.934000
angle : 191.826782, distance : 1.946000
angle : 192.167358, distance : 1.954000
angle : 192.496948, distance : 1.960000
angle : 192.843018, distance : 1.970000
angle : 193.513184, distance : 1.990000
angle : 248.373413, distance : 1.584000
angle : 248.713989, distance : 1.570000
angle : 249.060059, distance : 1.566000
angle : 249.406128, distance : 1.566000
angle : 249.730225, distance : 1.560000
angle : 250.076294, distance : 1.550000
angle : 250.416870, distance : 1.550000
angle : 250.762939, distance : 1.548000
angle : 251.092529, distance : 1.546000
angle : 251.433105, distance : 1.542000
angle : 251.779175, distance : 1.540000
angle : 252.119751, distance : 1.538000
angle : 252.449341, distance : 1.538000
angle : 252.855835, distance : 1.536000
angle : 253.201904, distance : 1.534000
angle : 253.526001, distance : 1.532000
angle : 253.872070, distance : 1.530000
angle : 254.218140, distance : 1.528000
angle : 254.542236, distance : 1.524000
angle : 254.888306, distance : 1.518000
angle : 255.234375, distance : 1.514000
angle : 255.558472, distance : 1.516000
angle : 255.904541, distance : 1.516000
angle : 256.245117, distance : 1.512000
angle : 256.574707, distance : 1.508000
angle : 256.920776, distance : 1.504000
angle : 257.261353, distance : 1.502000
angle : 257.590942, distance : 1.500000
angle : 257.937012, distance : 1.498000
angle : 258.277588, distance : 1.494000
angle : 258.607178, distance : 1.480000
angle : 258.947754, distance : 1.472000
angle : 259.293823, distance : 1.472000
angle : 259.963989, distance : 1.470000
angle : 262.825928, distance : 0.444000
angle : 263.166504, distance : 0.440000
angle : 263.562012, distance : 0.437000
angle : 263.902588, distance : 0.435000
angle : 264.232178, distance : 0.433000
angle : 264.572754, distance : 0.432000
angle : 264.968262, distance : 0.431000
angle : 265.308838, distance : 0.430000
angle : 265.654907, distance : 0.429000
angle : 265.979004, distance : 0.428000
angle : 266.325073, distance : 0.428000
angle : 266.671143, distance : 0.429000
angle : 267.280884, distance : 0.432000
angle : 271.186523, distance : 0.457000
angle : 288.215332, distance : 1.980000
angle : 289.291992, distance : 1.864000
angle : 289.621582, distance : 1.878000
angle : 289.967651, distance : 1.890000
angle : 290.308228, distance : 1.882000
angle : 290.588379, distance : 1.898000
angle : 290.934448, distance : 1.914000
angle : 291.280518, distance : 1.916000
angle : 292.011108, distance : 1.828000
angle : 292.357178, distance : 1.826000
angle : 293.373413, distance : 1.838000
angle : 325.371094, distance : 1.988000
angle : 325.717163, distance : 1.978000
angle : 326.057739, distance : 1.970000
angle : 326.403809, distance : 1.966000
angle : 326.749878, distance : 1.958000
angle : 327.090454, distance : 1.950000
angle : 327.420044, distance : 1.944000
angle : 327.760620, distance : 1.936000
angle : 328.106689, distance : 1.930000
angle : 328.452759, distance : 1.920000
angle : 328.793335, distance : 1.914000
angle : 329.139404, distance : 1.908000
angle : 329.479980, distance : 1.900000
angle : 329.826050, distance : 1.892000
angle : 330.216064, distance : 1.890000
angle : 330.562134, distance : 1.890000
angle : 330.858765, distance : 1.904000
angle : 331.199341, distance : 1.924000
angle : 331.545410, distance : 1.946000
angle : 331.885986, distance : 1.960000
angle : 352.765503, distance : 1.858000
angle : 353.106079, distance : 1.854000
angle : 353.792725, distance : 1.850000
angle : 356.044922, distance : 0.588000
angle : 356.374512, distance : 0.590000
angle : 358.873901, distance : 0.564000
angle : 359.154053, distance : 0.578000
angle : 359.494629, distance : 0.582000
