dist : 1.256992, i : 0, j : 7
dist : 1.262632, i : 0, j : 21
dist : 1.198915, i : 1, j : 5
dist : 1.187941, i : 1, j : 7
dist : 1.818344, i : 1, j : 20
dist : 1.908267, i : 4, j : 9
dist : 1.809799, i : 4, j : 21
dist : 1.187455, i : 5, j : 9
dist : 1.785129, i : 5, j : 10
dist : 1.297586, i : 5, j : 18
dist : 1.263251, i : 5, j : 19
dist : 1.251562, i : 6, j : 22
dist : 1.208714, i : 7, j : 9
dist : 1.948093, i : 7, j : 10
dist : 1.823073, i : 9, j : 18
dist : 1.816086, i : 9, j : 19
dist : 1.311675, i : 10, j : 13
dist : 1.782989, i : 15, j : 17
dist : 1.934365, i : 15, j : 18
dist : 1.157019, i : 17, j : 18
dist : 1.181436, i : 17, j : 19
dist : 1.807988, i : 18, j : 21
dist : 1.900998, i : 18, j : 22
dist : 1.918670, i : 18, j : 23
dist : 1.766890, i : 19, j : 21
dist : 1.855992, i : 19, j : 22
dist : 1.874017, i : 19, j : 23
dist : 1.320326, i : 20, j : 22
