dist : 0.000000, i : 0, j : 1
dist : 0.704286, i : 0, j : 2
dist : 2.037009, i : 0, j : 3
dist : 0.000000, i : 0, j : 4
dist : 2.489266, i : 0, j : 5
dist : 2.357958, i : 0, j : 6
dist : 3.808958, i : 0, j : 7
dist : 3.819327, i : 0, j : 8
dist : 3.829325, i : 0, j : 9
dist : 3.813434, i : 0, j : 10
dist : 0.000000, i : 0, j : 11
dist : 3.992122, i : 0, j : 12
dist : 4.232069, i : 0, j : 13
dist : 4.029335, i : 0, j : 14
dist : 0.000000, i : 0, j : 15
dist : 4.228519, i : 0, j : 16
dist : 0.000000, i : 0, j : 17
dist : 3.059866, i : 0, j : 18
dist : 4.146754, i : 0, j : 19
dist : 3.959200, i : 0, j : 20
dist : 4.050756, i : 0, j : 21
dist : 4.299082, i : 0, j : 22
dist : 0.000000, i : 0, j : 23
dist : 0.000000, i : 0, j : 24
dist : 2.901270, i : 0, j : 25
dist : 0.000000, i : 0, j : 26
dist : 2.398790, i : 0, j : 27
dist : 0.000000, i : 0, j : 28
dist : 0.000000, i : 0, j : 29
dist : 0.000000, i : 0, j : 30
dist : 1.677148, i : 0, j : 31
dist : 1.397207, i : 0, j : 32
dist : 1.122108, i : 0, j : 33
dist : 0.652230, i : 0, j : 34
dist : 0.362261, i : 0, j : 35
dist : 0.000000, i : 1, j : 2
dist : 0.000000, i : 1, j : 3
dist : 0.000000, i : 1, j : 4
dist : 0.000000, i : 1, j : 5
dist : 0.000000, i : 1, j : 6
dist : 0.000000, i : 1, j : 7
dist : 0.000000, i : 1, j : 8
dist : 0.000000, i : 1, j : 9
dist : 0.000000, i : 1, j : 10
dist : 0.000000, i : 1, j : 11
dist : 0.000000, i : 1, j : 12
dist : 0.000000, i : 1, j : 13
dist : 0.000000, i : 1, j : 14
dist : 0.000000, i : 1, j : 15
dist : 0.000000, i : 1, j : 16
dist : 0.000000, i : 1, j : 17
dist : 0.000000, i : 1, j : 18
dist : 0.000000, i : 1, j : 19
dist : 0.000000, i : 1, j : 20
dist : 0.000000, i : 1, j : 21
dist : 0.000000, i : 1, j : 22
dist : 0.000000, i : 1, j : 23
dist : 0.000000, i : 1, j : 24
dist : 0.000000, i : 1, j : 25
dist : 0.000000, i : 1, j : 26
dist : 0.000000, i : 1, j : 27
dist : 0.000000, i : 1, j : 28
dist : 0.000000, i : 1, j : 29
dist : 0.000000, i : 1, j : 30
dist : 0.000000, i : 1, j : 31
dist : 0.000000, i : 1, j : 32
dist : 0.000000, i : 1, j : 33
dist : 0.000000, i : 1, j : 34
dist : 0.000000, i : 1, j : 35
dist : 2.225379, i : 2, j : 3
dist : 0.000000, i : 2, j : 4
dist : 2.526778, i : 2, j : 5
dist : 2.574823, i : 2, j : 6
dist : 3.936107, i : 2, j : 7
dist : 4.000496, i : 2, j : 8
dist : 4.041060, i : 2, j : 9
dist : 4.037705, i : 2, j : 10
dist : 0.000000, i : 2, j : 11
dist : 4.231466, i : 2, j : 12
dist : 4.486399, i : 2, j : 13
dist : 4.306674, i : 2, j : 14
dist : 0.000000, i : 2, j : 15
dist : 4.528910, i : 2, j : 16
dist : 0.000000, i : 2, j : 17
dist : 3.391209, i : 2, j : 18
dist : 4.522725, i : 2, j : 19
dist : 4.359161, i : 2, j : 20
dist : 4.485726, i : 2, j : 21
dist : 4.774198, i : 2, j : 22
dist : 0.000000, i : 2, j : 23
dist : 0.000000, i : 2, j : 24
dist : 3.471327, i : 2, j : 25
dist : 0.000000, i : 2, j : 26
dist : 3.022309, i : 2, j : 27
dist : 0.000000, i : 2, j : 28
dist : 0.000000, i : 2, j : 29
dist : 0.000000, i : 2, j : 30
dist : 2.378175, i : 2, j : 31
dist : 1.947051, i : 2, j : 32
dist : 1.826101, i : 2, j : 33
dist : 1.282045, i : 2, j : 34
dist : 1.065649, i : 2, j : 35
dist : 0.000000, i : 3, j : 4
dist : 0.629991, i : 3, j : 5
dist : 0.352433, i : 3, j : 6
dist : 1.772505, i : 3, j : 7
dist : 1.791463, i : 3, j : 8
dist : 1.819173, i : 3, j : 9
dist : 1.813242, i : 3, j : 10
dist : 0.000000, i : 3, j : 11
dist : 2.006089, i : 3, j : 12
dist : 2.261623, i : 3, j : 13
dist : 2.087989, i : 3, j : 14
dist : 0.000000, i : 3, j : 15
dist : 2.319263, i : 3, j : 16
dist : 0.000000, i : 3, j : 17
dist : 1.242600, i : 3, j : 18
dist : 2.385763, i : 3, j : 19
dist : 2.265305, i : 3, j : 20
dist : 2.451824, i : 3, j : 21
dist : 2.815546, i : 3, j : 22
dist : 0.000000, i : 3, j : 23
dist : 0.000000, i : 3, j : 24
dist : 2.015826, i : 3, j : 25
dist : 0.000000, i : 3, j : 26
dist : 1.987316, i : 3, j : 27
dist : 0.000000, i : 3, j : 28
dist : 0.000000, i : 3, j : 29
dist : 0.000000, i : 3, j : 30
dist : 2.648285, i : 3, j : 31
dist : 1.244426, i : 3, j : 32
dist : 2.255413, i : 3, j : 33
dist : 2.446286, i : 3, j : 34
dist : 2.061629, i : 3, j : 35
dist : 0.000000, i : 4, j : 5
dist : 0.000000, i : 4, j : 6
dist : 0.000000, i : 4, j : 7
dist : 0.000000, i : 4, j : 8
dist : 0.000000, i : 4, j : 9
dist : 0.000000, i : 4, j : 10
dist : 0.000000, i : 4, j : 11
dist : 0.000000, i : 4, j : 12
dist : 0.000000, i : 4, j : 13
dist : 0.000000, i : 4, j : 14
dist : 0.000000, i : 4, j : 15
dist : 0.000000, i : 4, j : 16
dist : 0.000000, i : 4, j : 17
