angle : 1.296387, distance : 1.606750
angle : 5.467758, distance : 1.727250
angle : 9.036255, distance : 1.744000
angle : 12.586060, distance : 1.812889
angle : -nan, distance : -nan
angle : 20.621338, distance : 0.923500
angle : 24.938965, distance : 1.969500
angle : 38.024910, distance : 2.224064
angle : 50.834526, distance : 2.905143
angle : 60.531372, distance : 1.279200
angle : 74.902039, distance : 1.172500
angle : 79.082336, distance : 1.391556
angle : 89.607239, distance : 1.715000
angle : 119.852402, distance : 0.830076
angle : 134.660797, distance : 2.681000
angle : 138.226318, distance : 0.711333
angle : 142.380066, distance : 0.722000
angle : 148.520050, distance : 1.139500
angle : 172.372742, distance : 2.168000
angle : -nan, distance : -nan
angle : -nan, distance : -nan
angle : 201.189529, distance : 2.660944
angle : 240.304184, distance : 1.395120
angle : 251.998901, distance : 0.413000
angle : 256.083069, distance : 0.429750
angle : 260.509186, distance : 2.828000
angle : 265.838470, distance : 2.578667
angle : 301.273163, distance : 0.417949
angle : -nan, distance : -nan
angle : 356.976929, distance : 0.536667
angle : 0.000000, distance : 0.000000
